hour,day,month,day_of_week,temp,humidity,wind_speed,pm2_5,pm10,co,no2,so2,o3,aqi,aqi_24h_ago,aqi_48h_ago,aqi_72h_ago,aqi_change_24h,aqi_rolling_mean_24h,aqi_rolling_std_24h
18,12,11,1,28.1,67,7.7,24.3,41.7,484.0,27.5,21.7,67.0,79,67.0,66.0,64.0,12.0,82.875,15.803996467597052
15,18,11,0,31.5,37,13.8,36.4,48.9,520.0,6.4,23.2,164.0,103,84.0,89.0,114.0,19.0,105.20833333333333,16.805742203618674
11,24,11,6,28.7,56,2.2,21.1,27.3,652.0,11.4,36.6,116.0,73,68.0,72.0,71.0,5.0,78.79166666666667,11.178314280110209
8,30,11,5,22.0,80,7.0,36.8,39.9,1213.0,44.0,22.4,21.0,104,101.0,161.0,119.0,3.0,87.04166666666667,11.149104727818685
4,6,12,4,21.3,68,7.7,44.6,77.3,1008.0,34.7,18.9,41.0,123,141.0,139.0,118.0,-18.0,131.0,15.830625245143555
1,12,12,3,17.6,38,8.1,42.5,43.9,614.0,65.3,18.4,14.0,118,112.0,78.0,96.0,6.0,111.04166666666667,27.8544027690989
21,17,12,1,21.2,30,8.4,36.4,40.5,841.0,34.0,16.3,63.0,103,145.0,116.0,89.0,-42.0,110.08333333333333,11.798734886738355
18,23,12,0,21.7,59,10.0,62.2,82.4,847.0,39.5,31.3,96.0,156,107.0,119.0,95.0,49.0,134.91666666666666,18.59620500477769
14,29,12,6,24.9,16,7.4,21.1,22.8,517.0,8.2,21.8,135.0,73,63.0,79.0,116.0,10.0,81.91666666666667,10.721439985481767
11,4,1,5,21.3,50,6.8,32.5,64.5,448.0,13.8,28.2,104.0,95,154.0,122.0,114.0,-59.0,159.625,19.189699456151462
7,10,1,4,16.5,44,6.9,29.0,29.1,1220.0,49.9,15.2,30.0,88,88.0,76.0,61.0,0.0,105.125,31.990912432452813
4,16,1,3,16.7,53,7.8,63.6,70.1,552.0,25.4,17.9,53.0,157,143.0,146.0,150.0,14.0,142.41666666666666,23.527812712075665
0,22,1,2,19.2,78,6.9,43.3,47.3,681.0,26.6,13.4,73.0,120,142.0,150.0,129.0,-22.0,132.58333333333334,12.51405007483074
20,27,1,0,20.6,84,7.1,33.5,37.3,1086.0,65.1,22.6,26.0,96,107.0,142.0,82.0,-11.0,110.5,23.33685273665146
17,2,2,6,26.0,20,8.8,26.0,36.8,539.0,7.4,13.9,135.0,82,83.0,67.0,89.0,-1.0,93.25,33.47581865739171
13,8,2,5,27.7,13,6.9,16.2,32.4,625.0,8.4,17.3,130.0,64,54.0,61.0,60.0,10.0,78.58333333333333,13.593210155029388
10,14,2,4,24.7,68,7.9,30.0,71.2,539.0,26.1,16.6,72.0,90,116.0,141.0,79.0,-26.0,104.0,19.019440854945362
6,20,2,3,21.6,83,4.5,22.4,64.3,714.0,19.6,8.9,56.0,76,63.0,76.0,64.0,13.0,72.83333333333333,6.525313030412591
3,26,2,2,21.2,89,5.0,21.5,45.4,264.0,50.3,14.4,14.0,74,91.0,71.0,120.0,-17.0,97.5,16.264124296451094
23,3,3,0,22.8,76,6.8,44.7,115.5,512.0,23.0,11.9,67.0,124,68.0,86.0,84.0,56.0,87.04166666666667,20.869114201043406
20,9,3,6,27.2,56,8.2,33.4,60.5,829.0,57.2,18.6,50.0,96,67.0,83.0,73.0,29.0,82.375,10.846007079343613
16,15,3,5,32.3,14,15.0,19.4,44.8,257.0,5.7,19.5,163.0,70,94.0,65.0,61.0,-24.0,87.54166666666667,9.609683371095686
13,21,3,4,33.4,26,8.5,16.0,41.4,487.0,5.7,20.6,155.0,64,65.0,61.0,55.0,-1.0,66.83333333333333,7.44058592051129
9,27,3,3,26.6,29,12.8,45.6,174.6,670.0,25.9,14.2,80.0,126,69.0,62.0,57.0,57.0,70.95833333333333,19.804433334738
6,2,4,2,21.7,79,3.0,32.9,53.8,645.0,45.9,20.0,20.0,95,67.0,61.0,77.0,28.0,87.125,7.525680671219958
2,8,4,1,25.7,77,9.7,21.4,31.4,245.0,15.5,8.4,71.0,74,44.0,39.0,55.0,30.0,60.958333333333336,12.526421351845949
23,13,4,6,26.5,88,12.7,17.5,29.2,299.0,14.2,8.4,59.0,67,64.0,85.0,77.0,3.0,63.375,4.178750593379164
19,19,4,5,30.0,53,10.9,92.7,343.7,467.0,20.9,9.8,85.0,195,68.0,62.0,67.0,127.0,114.41666666666667,52.88372533962679
16,25,4,4,31.9,62,15.4,24.2,66.6,352.0,8.7,12.8,118.0,79,71.0,90.0,86.0,8.0,75.08333333333333,6.296421804182163
12,1,5,3,33.2,53,19.7,16.7,32.1,219.0,3.9,11.4,115.0,65,66.0,60.0,85.0,-1.0,61.583333333333336,3.119596778096276
9,7,5,2,30.7,68,2.5,23.1,78.2,700.0,14.2,34.7,79.0,77,120.0,67.0,71.0,-43.0,86.83333333333333,22.009220729081058
